user,day,logon_count,unique_pcs,after_hours_logons,file_event_count,to_removable_count,from_removable_count,device_event_count,device_connect_count,anomaly_score,prediction,is_anomaly
WSA1765,2010-01-04,4.0,4.0,3.0,18.0,5.0,11.0,6.0,3.0,-0.11670563644799647,-1,1
SDH2394,2010-01-02,2.0,2.0,0.0,31.0,16.0,14.0,14.0,7.0,-0.09647341433391243,-1,1
KRH1028,2010-01-04,0.0,0.0,0.0,26.0,11.0,14.0,2.0,1.0,-0.08910888081769519,-1,1
ABD3426,2010-01-03,2.0,1.0,0.0,26.0,12.0,14.0,16.0,8.0,-0.08025950957566641,-1,1
ABM3687,2010-01-03,3.0,2.0,0.0,27.0,6.0,14.0,10.0,5.0,-0.07750740199987793,-1,1
KEF1057,2010-01-04,5.0,5.0,4.0,0.0,0.0,0.0,8.0,4.0,-0.07729352700826975,-1,1
YNW2855,2010-01-03,3.0,2.0,0.0,22.0,2.0,17.0,18.0,9.0,-0.07390602809440905,-1,1
IMC3296,2010-01-02,2.0,2.0,0.0,21.0,6.0,13.0,18.0,9.0,-0.07185574522037774,-1,1
QGH0041,2010-01-04,5.0,5.0,0.0,14.0,4.0,7.0,8.0,4.0,-0.07048874358657553,-1,1
LMG1061,2010-01-04,5.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,-0.06943785375431899,-1,1
